     1	00:00 0 
     2	00:01 0 
     3	00:02 0 
     4	00:03 0 
     5	00:04 0 
     6	00:05 0 
     7	00:06 0 
     8	00:07 0 
     9	00:08 0 
    10	00:09 0 
    11	00:10 0 
    12	00:11 0 
    13	00:12 0 
    14	00:13 0 
    15	00:14 0 
    16	00:15 0 
    17	00:16 0 
    18	00:17 0 
    19	00:18 0 
    20	00:19 0 
    21	00:20 0 
    22	00:21 0 
    23	00:22 0 
    24	00:23 0 
    25	00:24 0 
    26	00:25 0 
    27	00:26 0 
    28	00:27 0 
    29	00:28 0 
    30	00:29 0 
    31	00:30 0 
    32	00:31 0 
    33	00:32 0 
    34	00:33 0 
    35	00:34 0 
    36	00:35 0 
    37	00:36 0 
    38	00:37 0 
    39	00:38 0 
    40	00:39 0 
    41	00:40 0 
    42	00:41 0 
    43	00:42 0 
    44	00:43 0 
    45	00:44 0 
    46	00:45 0 
    47	00:46 0 
    48	00:47 0 
    49	00:48 0 
    50	00:49 0 
    51	00:50 0 
    52	00:51 0 
    53	00:52 0 
    54	00:53 0 
    55	00:54 0 
    56	00:55 0 
    57	00:56 0 
    58	00:57 0 
    59	00:58 0 
    60	00:59 0 
    61	01:00 0 
    62	01:01 0 
    63	01:02 0 
    64	01:03 0 
    65	01:04 0 
    66	01:05 0 
    67	01:06 0 
    68	01:07 0 
    69	01:08 0 
    70	01:09 0 
    71	01:10 0 
    72	01:11 0 
    73	01:12 0 
    74	01:13 0 
    75	01:14 0 
    76	01:15 0 
    77	01:16 0 
    78	01:17 0 
    79	01:18 0 
    80	01:19 0 
    81	01:20 0 
    82	01:21 0 
    83	01:22 0 
    84	01:23 0 
    85	01:24 0 
    86	01:25 0 
    87	01:26 0 
    88	01:27 0 
    89	01:28 0 
    90	01:29 0 
    91	01:30 0 
    92	01:31 0 
    93	01:32 0 
    94	01:33 0 
    95	01:34 0 
    96	01:35 0 
    97	01:36 0 
    98	01:37 0 
    99	01:38 0 
   100	01:39 0 
   101	01:40 0 
   102	01:41 0 
   103	01:42 0 
   104	01:43 0 
   105	01:44 0 
   106	01:45 0 
   107	01:46 0 
   108	01:47 0 
   109	01:48 0 
   110	01:49 0 
   111	01:50 0 
   112	01:51 0 
   113	01:52 0 
   114	01:53 0 
   115	01:54 0 
   116	01:55 0 
   117	01:56 0 
   118	01:57 0 
   119	01:58 0 
   120	01:59 0 
   121	02:00 0 
   122	02:01 0 
   123	02:02 0 
   124	02:03 0 
   125	02:04 0 
   126	02:05 0 
   127	02:06 0 
   128	02:07 0 
   129	02:08 0 
   130	02:09 0 
   131	02:10 0 
   132	02:11 0 
   133	02:12 0 
   134	02:13 0 
   135	02:14 0 
   136	02:15 0 
   137	02:16 0 
   138	02:17 0 
   139	02:18 0 
   140	02:19 0 
   141	02:20 0 
   142	02:21 0 
   143	02:22 0 
   144	02:23 0 
   145	02:24 0 
   146	02:25 0 
   147	02:26 0 
   148	02:27 0 
   149	02:28 0 
   150	02:29 0 
   151	02:30 0 
   152	02:31 0 
   153	02:32 0 
   154	02:33 0 
   155	02:34 0 
   156	02:35 0 
   157	02:36 0 
   158	02:37 0 
   159	02:38 0 
   160	02:39 0 
   161	02:40 0 
   162	02:41 0 
   163	02:42 0 
   164	02:43 0 
   165	02:44 0 
   166	02:45 0 
   167	02:46 0 
   168	02:47 0 
   169	02:48 0 
   170	02:49 0 
   171	02:50 0 
   172	02:51 0 
   173	02:52 0 
   174	02:53 0 
   175	02:54 0 
   176	02:55 0 
   177	02:56 0 
   178	02:57 0 
   179	02:58 0 
   180	02:59 0 
   181	03:00 0 
   182	03:01 0 
   183	03:02 0 
   184	03:03 0 
   185	03:04 0 
   186	03:05 0 
   187	03:06 0 
   188	03:07 0 
   189	03:08 0 
   190	03:09 0 
   191	03:10 0 
   192	03:11 0 
   193	03:12 0 
   194	03:13 0 
   195	03:14 0 
   196	03:15 0 
   197	03:16 0 
   198	03:17 0 
   199	03:18 0 
   200	03:19 0 
   201	03:20 0 
   202	03:21 0 
   203	03:22 0 
   204	03:23 0 
   205	03:24 0 
